Id,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
4,Afghanistan,,,,,,,,,,,4.9,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,,,
8,Albania,,,,,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,,,
12,Algeria,,,50.9,,,56.9,,,,,64,,57,,,,61.4,,,,,,55.9,,
24,Angola,,,,,,,8.1,,,,,6.2,,,,,,,,17.7,,,,,
660,Anguilla,,,,,,,,,,,,,,43,,,,,,,,,,,
32,Argentina,,,,,,,,,,,,65.3,,,,78.9,,,,,,,55.4,,
51,Armenia,,56,,,,,,,,,60.5,,,,,53.1,,,,,54.9,,,,
36,Australia,,,,,,66.7,,,,,,,70.8,,,72.3,,,,,,,,,
40,Austria,,,,,,,50.9,,,,,,,,,,,,,69.6,,,,,
31,Azerbaijan,,,,,,,,,,,55.1,55.4,,,,,51.1,,,,,,,,
48,Bahrain,,,,,,61.8,,,,,,,,,,,,,,,,,,,
50,Bangladesh,,39.9,,,44.9,,,49.8,,,54.3,,,,58.5,,,55.8,,,,61.2,,61.8,
52,Barbados,,,,,,,,,,,,,,,,,,,,,,,59.2,,
112,Belarus,,,,,,50.4,,,,,,,,,,72.6,,,,,,,63.1,,
56,Belgium,,,78.4,,,,,56.5,,,,75.6,,,74.6,,,,,,70.4,,,,
84,Belize,,46.7,,,,,,,,56.1,,,,,,,34.3,,,,,55.2,,,
204,Benin,,,,,,,16.4,,,,,18.6,,,,,17,,,,,,12.9,,
64,Bhutan,,,,,18.8,,,,,,30.7,,,,,,,,,,65.6,,,,
68,Bolivia,,,,,45.3,,,,48.3,,53.4,,,,58.4,,,,60.5,,,,,,
70,Bosnia and Herzegovina,,,,,,,,,,,47.5,,,,,,35.7,,,,,,45.8,,
72,Botswana,,,,,,,41.7,,,,44.4,,,,,,,,52.8,,,,,,
76,Brazil,,,,,,,76.7,,,,,,,,,,80.3,,,,,,,,
100,Bulgaria,,,,,,85.9,,,63.4,,,,,,,64.4,,69.2,,,,,,,
854,Burkina Faso,,,,24.9,,,,,,11.9,,,,13.8,,,17.4,,,,,16.2,,,17
108,Burundi,,,,,,,,,,,15.7,,19.7,,,9.1,,,,,,21.9,,,
116,Cambodia,,,,,,12.6,,,21.8,,23.8,,,,,40,,,,,,50.5,,,56.3
120,Cameroon,,16.1,,,,,,,19.3,,25.6,,,,26,,29.2,,,,,23.4,,,
124,Canada,,,,,,74.7,,,80,,,,74,,,,,,,,,,,,
132,Cape Verde,,,,,,,,,52.9,,,,,,,61.3,,,,,,,,,
140,Central African Republic,,,,,,14.8,,,,,27.9,,,,,,19,,,,,15.2,,,
148,Chad,,,,,,,,4.1,,,7.9,,,,2.8,,,,,,4.8,,,,
152,Chile,,,,,,,,,,,,60.7,,,,,64.2,,,,,,,,
156,China,,,84.6,,,,,83.8,,,,86.9,,,,,84.6,,,,,,,,
344,"China, Hong Kong Special Administrative Region",,,86.2,,,,,86,,,,,86.2,,,,,79.5,,,,,,,
170,Colombia,66.1,,,,,72.2,,,,,76.9,,,,,78.2,,,,,79.1,,,,
174,Comoros,,,,,,,21,,,,25.7,,,,,,,,,,,,19.4,,
178,Congo,,,,,,,,,,,,,,,,44.3,,,,,,,44.7,,
184,Cook Islands,,,,,,,63.2,,,43.2,,,,,,,,,,,,,,,
188,Costa Rica,,,,75,,,,,,80,,,,,,,,,,81.1,82.2,76.2,,,
384,Cote d'Ivoire,,,,,11.4,,,,,15,,,,,,,12.9,,,,,,18.2,,
192,Cuba,,,,,,,,,,,73.3,,,,,,72.6,,,,,74.3,,,73.7
203,Czech Republic,,78,,68.9,,,,72,,,,,,,,78.2,,,86.3,,,,,,
180,Democratic Republic of the Congo,,7.7,,,,,,,,,,31.4,,,,,,20.6,,,17.7,,,,20.4
208,Denmark,,,,76.5,,,,,,,,,,,,,,,,,,,,,
262,Djibouti,,,,,,,,,,,,,9,,,,17.8,,,,,,19,,
214,Dominican Republic,,56.4,,,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,73,,,71.9,
218,Ecuador,,,,,56.8,,,,,65.8,,,,,72.7,,,,,,,,,,
818,Egypt,,47.6,47.1,,,47.9,,54.5,51.7,,56.1,,,60,,59.2,,,60.3,,,,,,58.5
222,El Salvador,,,,53.3,,,,,60,,,,,66.9,,,,,72.3,,,,,,
226,Equatorial Guinea,,,,,,,,,,,10.1,,,,,,,,,,,12.6,,,
232,Eritrea,,,,,,8,,,,,,,8,,,,,,,,,,,,
233,Estonia,,,,,70.3,,,,,,,,,,,63.4,,,,,,,,,
231,Ethiopia,4.8,,,,,,,3.3,,,8.1,,,,,14.7,,,,,,28.6,,,34.2
246,Finland,77.4,,,,,,,,,,,,,,,,,,,,,,,,
250,France,,,,,74.5,,,,,,81.8,,,,76.6,74.8,,,76.4,,,,,,
266,Gabon,,,,,,,,,,,32.7,,,,,,,,,,,,31.1,,
270,Gambia,11.8,,,,,,,,,,9.5,17.5,,,,,,,,,13.3,,,9,
268,Georgia,,,,,,,,,,,40.5,,,,,47.3,45.6,,,35.5,53.4,,,,
276,Germany,,,70.1,,,,,,,,,,,,,66.2,,,,,,,,,
288,Ghana,,,17.2,20.3,,,,,15,22,,,,25.2,,,24.2,,23.5,,,34.7,,19.5,25.6
300,Greece,,,,,,,,,,61.3,,76.2,,,,,,,,,,,,,
308,Grenada,54.3,,,,,,,,,,,,,,,,,,,,,,,,
316,Guam,,,,,,,,,,,,,66.6,,,,,,,,,,,,
320,Guatemala,,,,,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,,,
324,Guinea,,,,1.7,,,,,,6.2,,,,,,9.1,,,,,,,5.6,,
624,Guinea-Bissau,,,,,,,,,,,7.6,,,,,,10.3,,,,14.2,,,,
328,Guyana,,,38.2,,,,,,,,37.3,,,,,34.6,,34.2,,42.5,,,,,
332,Haiti,,,,,,18,,,,,28.1,,,,,,32,,,,,,34.5,,
340,Honduras,,,46.7,,,,49.2,,,,,61.6,,,,,65.2,,,,,,73.2,,
348,Hungary,,,,80.6,,,,,,,,,,,,,,,,,,,,,
356,India,,,,40.7,,,,,,48.2,46.9,,,,53,,56.3,,54.8,,,,,,
360,Indonesia,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,,60.3,,57.9,,61.4,,,,,61.9,62.5,
364,Iran (Islamic Republic of),,,64.6,67.8,70,72.8,73.7,72.9,,,73.8,,73.3,,,,,,,,,77.4,,,
368,Iraq,,,,,,,,,,,43.5,,,,,,49.8,,,,,52.5,,,
372,Ireland,,,,,,,,,77,,,,75,,,64.8,,,,,,,,,
380,Italy,,,,,,,62.7,,,,,,,,,,,,,,,,,,
388,Jamaica,,,,62,,,,65.9,,,,,,69,,,,,,72.5,,,,,
392,Japan,57.9,,64,,58.6,,56.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,,,
400,Jordan,40,,,,,,,52.6,,,,,55.8,,,,,57.1,,59.3,,,61.2,,
398,Kazakhstan,,,,,,59.1,,,,66.1,,,,,,,50.7,,,,,51,,,
404,Kenya,,,,32.7,,,,,39,,,,,39.3,,,,,,45.5,,,,,58
296,Kiribati,,,,,,,,,,,36.1,,,,,,,,,22.3,,,,,
408,"Korea, Democratic People's Republic of",,,61.9,,,,,67.3,,,,,68.6,,,,,,,,70.6,,,,
410,"Korea, Republic of",,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,,,
414,Kuwait,,,,,49.8,,50.2,,,52,,,,,,,,,,,,,,,
417,Kyrgyzstan,,,,,,,,59.5,,,,,,,,,47.8,,,,,,36.3,,42
418,Lao People's Democratic Republic,,,,18.6,,20,,,,,32.2,,,,,38.4,,,,,,,49.8,,
428,Latvia,,,,,,67.8,,,,,,,,,,,,,,,,,,,
422,Lebanon,,,,,,,61.1,,,,62.7,,,,58,,,,,,,,,,
426,Lesotho,,,23.2,,,29.1,,,,,30.4,40.6,38,,,37.3,,,,,47,50.7,,,60.2
430,Liberia,,,,,,,,,,,,,,,,,,11.4,,,,,,20.2,
434,Libyan Arab Jamahiriya,,,,,,45.2,,,,,,,,,,,,41.9,,,,,,,
440,Lithuania,,,,,,50.7,,,,,,,,,,,62.9,,,,,,,,
450,Madagascar,,,16.7,,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,,,,
454,Malawi,,,13,,,,21.9,,,,30.6,,,,32.5,,41,,,,46.1,,,,58.6
458,Malaysia,,,,,55.1,,,,,,,,,,49,,,,,,,,,,
462,Maldives,,29,,,,,,,,42,,,,,39,,,,,34.7,,,,,
466,Mali,,,,,,,6.7,,,,,8.1,,,,,8.2,,,,,,,10.3,
470,Malta,,,,85.8,,,,,,,,,,,,,,,,,,,,,
584,Marshall Islands,,,,,,,,,,,,,,,,,,44.6,,,,,,,
478,Mauritania,,4.1,,,,,,,,,,8,,,,,,9.3,,,,11.4,,,
480,Mauritius,,74.6,,,,,,,,,,,75.8,,,,,,,,,,,,
484,Mexico,,,63.1,,,66.5,,68.4,,,,,,74.5,,,70.9,,,72.5,,,,,
496,Mongolia,,,,,57.3,,,,59.9,,67.4,,,69,,66,,,55.2,,54.9,,,54.6,
499,Montenegro,,,,,,,,,,,52.7,,,,,,39.4,,,,,,,23.3,
504,Morocco,,,41.5,,,50.3,,58.4,,,,,,,63,,,,,,,67.4,,,
508,Mozambique,,,,,,,,5.6,,,,,,,25.5,,,,16.2,,,11.6,,,
104,Myanmar,,16.8,,,,,,32.7,,,,37,,,,,,41,,,46,,,,
516,Namibia,,,28.9,,,,,,,,43.7,,,,,,,55.1,,,,,,56.1,
520,Nauru,,,,,,,,,,,,,,,,,,35.6,,,,,,,
524,Nepal,,,24.1,,,,28.5,,,,37.3,39.3,,,,,48,,,,,49.7,,,49.6
528,Netherlands,,,,78.5,,,,,71,,,,,67,,,,,69,,,,,,
554,New Zealand,,,,,,75,,,,,,,,,,,,,,,,,,,
558,Nicaragua,,,,48.7,,,,,60.3,,,68.6,,,,,,72.4,,,,,80.4,,
562,Niger,,,4.4,,,,,,8.2,,14,,,,,,11.2,,,,,,13.9,,
566,Nigeria,6,,,,13.4,,,,,15.3,,,,12.6,,,,14.7,14.6,,,14.1,13.5,15.1,
578,Norway,,,,,,,,,86.5,,,,,,,88.4,,,,,,,,,
512,Oman,,,,,,23.7,,,,,31.7,,,,,,,,24.4,,,,,,
586,Pakistan,,11.8,,21.9,,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,,35.4,
585,Palau,,,,,,,,,,,,,,32.8,,,,,,,,,,,
591,Panama,,,,,,,,,,,,,,,,,,,,52.2,,,,62.8,
598,Papua New Guinea,,,,,,,,25.9,,,,,,,,,,32.4,,,,,,,
600,Paraguay,48.4,,,,,,55.9,,61.8,,,,,,72.8,,,,79.4,,,,,,
604,Peru,,,59,,,,64.2,,,,68.9,,,,,,71.3,,72.4,73.2,74.4,75.4,75.5,74,
608,Philippines,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,
616,Poland,,72.7,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,,,,,,,,78.8,,,,,,,,,86.8,,,,,,,,
630,Puerto Rico,,,,,,,77.7,,,,,,84.1,,,,,,,,,,,,
634,Qatar,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,
498,Republic of Moldova,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,
638,Reunion,72.9,,,,,,,66.6,,,,,,,,,,,,,,,,,
642,Romania,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,
643,Russian Federation,,,,62.5,66.8,63.4,65.3,,,,,,,,83.8,,,79.5,,,,68,,,
646,Rwanda,,,21.2,,,,13.7,,,,13.2,,,,,17.4,,,36.4,,,51.6,,,
662,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,55.5,,
882,Samoa,,,,,,,,,24.5,,,,,,,,,,,28.7,,,,,
678,Sao Tome and Principe,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,,,,
682,Saudi Arabia,,,,,,,31.8,,,20.8,,,,,,,,23.8,,,,,,,
